Line,Word,Speaker,LineText
842,glyȝt,Narrator,"Gawayn glyȝt on þe gome þat godly hym gret,"
842,gret,Narrator,"Gawayn glyȝt on þe gome þat godly hym gret,"
876,grayþed,Narrator,"Watz grayþed for Sir Gawan grayþely with cloþez,"
876,grayþely,Narrator,"Watz grayþed for Sir Gawan grayþely with cloþez,"
891,gledez,Narrator,"Summe baken in bred, summe brad on þe gledez,"
920,grace,Men of the Castle,"God hatz geuen vus his grace godly for soþe,"
921,grauntez,Men of the Castle,"Þat such a gest as Gawan grauntez vus to haue,"
935,glydez,Narrator,Gawan glydez ful gay and gos þeder sone;
970,glyȝt,Narrator,"When Gawayn glyȝt on þat gay, þat graciously loked,"
970,graciously,Narrator,"When Gawayn glyȝt on þat gay, þat graciously loked,"
989,glade,Narrator,For to glade Sir Gawayn with gomnez in halle
1006,grome,Narrator,Bi vche grome at his degré grayþely watz serued
1006,grayþely,Narrator,Bi vche grome at his degré grayþely watz serued
1024,gray,Narrator,"Þer wer gestes to go vpon þe gray morne,"
1037,grant,Gawain,"'Grant merci, sir,' quoþ Gawayn, 'in god fayth hit is yowrez,"
1058,grene,Gawain,"Of þe grene chapel, quere hit on grounde stondez,"
1058,grounde,Gawain,"Of þe grene chapel, quere hit on grounde stondez,"
1059,grene,Gawain,"And of þe knyȝt þat hit kepes, of colour of grene."
1064,gladloker,Gawain,"Gladloker, bi Goddez sun, þen any god welde!"
1070,grene,Green Knight,Þe grene chapayle vpon grounde greue yow no more;
1070,grounde,Green Knight,Þe grene chapayle vpon grounde greue yow no more;
1070,greue,Green Knight,Þe grene chapayle vpon grounde greue yow no more;
1079,glad,Narrator,"Þenne watz Gawan ful glad, and gomenly he laȝed:"
1103,grantez,Narrator,"Gauayn grantez alle þyse,"
1110,grant,Gawain,"'Bi God,' quoþ Gawayn þe gode, 'I grant þertylle,"
1127,gromez,Narrator,"Gestes þat go wolde hor gromez þay calden,"
1149,gret,Narrator,Gret rurd in þat forest.
1159,gret,Narrator,Þe does dryuen with gret dyn to þe depe sladez;
1171,grehoundez,Narrator,"And þe grehoundez so grete, þat geten hem bylyue"
1171,grete,Narrator,"And þe grehoundez so grete, þat geten hem bylyue"
1215,grace,Gawain,"For I ȝelde me ȝederly, and ȝeȝe after grace,"
1218,grante,Narrator,"'Bot wolde ȝe, lady louely, þen leue me grante,"
1245,glad,Gawain,"Bi God, I were glad, and yow god þoȝt,"
1258,grace,The Lady,þurȝe grace.'
1259,gret,Narrator,"Scho made hym so gret chere,"
1289,granted,Narrator,He granted hir ful sone.
1290,glent,Narrator,"Þenne ho gef hym god day, and wyth a glent laȝed,"
1326,grattest,Narrator,"Gedered þe grattest of gres þat þer were,"
1326,gres,Narrator,"Gedered þe grattest of gres þat þer were,"
1335,gryped,Narrator,"Þay gryped to þe gargulun, and grayþely departed"
1335,grayþely,Narrator,"Þay gryped to þe gargulun, and grayþely departed"
1355,greue,Narrator,And þe corbeles fee þay kest in a greue;
1378,grece,Narrator,Schewez hym þe schyree grece schorne vpon rybbes.
1392,grant,Green Knight,"'Hit is god,' quoþ þe godmon, 'grant mercy þerfore."
1426,glauer,Narrator,Þenne such a glauer ande glam of gedered rachchez
1426,glam,Narrator,Þenne such a glauer ande glam of gedered rachchez
1441,grattest,Narrator,"For he watz breme, bor alþer-grattest,"
1442,grymme,Narrator,"Ful grymme quen he gronyed; þenne greued mony,"
1442,gronyed,Narrator,"Ful grymme quen he gronyed; þenne greued mony,"
1442,greued,Narrator,"Ful grymme quen he gronyed; þenne greued mony,"
1470,grayþely,Narrator,"Gawayn grayþely at home, in gerez ful ryche"
1507,greme,Gawain,Of druryes greme and grace.
1507,grace,Gawain,Of druryes greme and grace.
1536,gret,Gawain,"Gret is þe gode gle, and gomen to me huge,"
1536,gle,Gawain,"Gret is þe gode gle, and gomen to me huge,"
1609,glede,Narrator,"Braydez out þe boweles, brennez hom on glede,"
1630,gret,Narrator,"And praysed hit as gret prys þat he proued hade,"
1652,glam,Narrator,Much glam and gle glent vp þerinne
1652,gle,Narrator,Much glam and gle glent vp þerinne
1652,glent,Narrator,Much glam and gle glent vp þerinne
1674,grene,Green Knight,"Þou schal cheue to þe grene chapel þy charres to make,"
1683,grayþely,Narrator,"Þis watz grayþely graunted, and Gawayn is lenged,"
1683,graunted,Narrator,"Þis watz grayþely graunted, and Gawayn is lenged,"
1707,greue,Narrator,"And he trantes and tornayeez þurȝ mony tene greue,"
1714,graye,Narrator,al graye.
1753,grene,Narrator,"At þe grene chapel, when he þe gome metes,"
1760,glorious,Narrator,"He seȝ hir so glorious and gayly atyred,"
1768,gret,Narrator,"Gret perile bitwene hem stod,"
1799,gloue,The Lady,"Gif me sumquat of þy gifte, þi gloue if hit were,"
1807,gloue,Gawain,"A gloue for a garysoun of Gawaynez giftez,"
1832,grene,Narrator,"Gered hit watz with grene sylke and with golde schaped,"
1837,grace,Narrator,"Nauþer golde ne garysoun, er God hym grace sende"
1841,graunte,Gawain,to graunte;
1851,grene,The Lady,"For quat gome so is gorde with þis grene lace,"
1861,granted,Narrator,And he granted and hym gafe with a goud wylle--
1898,greue,Narrator,"Renaud com richchande þurȝ a roȝe greue,"
1926,glad,Narrator,"Sir Gawayn þe gode, þat glad watz withalle,"
1933,gret,Narrator,"And al with gomen he hym gret, and goudly he sayde,"
1955,glad,Gawain,Gawayn and þe godemon so glad were þay boþe--
1967,grene,Gawain,"Þe gate to þe grene chapel, as God wyl me suffer"
1974,greue,Narrator,bi greue.
2005,grete,Narrator,And drof vche dale ful of dryftes ful grete.
2014,grayþez,Narrator,And grayþez me Sir Gawayn vpon a grett wyse.
2014,grett,Narrator,And grayþez me Sir Gawayn vpon a grett wyse.
2023,grece,Narrator,"Þe gayest into Grece,"
2035,grene,Narrator,"Þe gordel of þe grene silke, þat gay wel bisemed,"
2039,glyterande,Narrator,"And þaȝ þe glyterande golde glent vpon endez,"
2039,glent,Narrator,"And þaȝ þe glyterande golde glent vpon endez,"
2047,gryngolet,Narrator,"Thenne watz Gryngolet grayþe, þat gret watz and huge,"
2047,grayþe,Narrator,"Thenne watz Gryngolet grayþe, þat gret watz and huge,"
2047,gret,Narrator,"Thenne watz Gryngolet grayþe, þat gret watz and huge,"
2062,gryngolet,Narrator,"Gordez to Gryngolet with his gilt helez,"
2103,grene,Manservant,"He cheuez þat chaunce at þe chapel grene,"
2126,grant,Gawain,"'Grant merci', quoþ Gawayn, and gruchyng he sayde:"
2126,gruchyng,Narrator,"'Grant merci', quoþ Gawayn, and gruchyng he sayde:"
2150,grounde,Manservant,"For alle þe golde vpon grounde I nolde go wyth þe,"
2157,grete,Gawain,'I wyl nauþer grete ne grone;
2157,grone,Gawain,'I wyl nauþer grete ne grone;
2160,gryngolet,Narrator,"Thenne gyrdez he to Gryngolet, and gederez þe rake,"
2181,gresse,Narrator,"And ouergrowen with gresse in glodes aywhere,"
2181,glodes,Narrator,"And ouergrowen with gresse in glodes aywhere,"
2186,grene,Gawain,'Wheþer þis be þe grene chapelle?
2191,grene,Narrator,Wel bisemez þe wyȝe wruxled in grene
2202,gryndelston,Narrator,As one vpon a gryndelston hade grounden a syþe.
2202,grounden,Narrator,As one vpon a gryndelston hade grounden a syþe.
2227,grene,Narrator,"And þe gome in þe grene gered as fyrst,"
2239,grene,Narrator,"'Gawayn,' quoþ þat grene gome, 'God þe mot loke!"
